title,date,location,year,month,season
Two-Wheeler Pothole Fall,2024-05-25,"Yerawada, near Golf Course Road, Pune, Maharashtra, India",2024,5,Summer
Speeding Car (Pune Station),2024-05-10,"Near Pune Railway Station, Pune, Maharashtra, India",2024,5,Summer
Bus Accident (Old Highway),2024-04-25,"Dehu Road Cantonment, Pune, Maharashtra, India",2024,4,Summer
Hit-and-Run (Kondhwa),2024-04-10,"Jyoti Chowk, Kondhwa, Pune, Maharashtra, India",2024,4,Summer
Motorcycle vs Dumper (Pimpri),2024-03-25,"Pimpri Grade Separator Road, Pune, Maharashtra, India",2024,3,Summer
Car Median Collision (Baner),2024-03-10,"Baner-Pashan Link Road, Pune, Maharashtra, India",2024,3,Summer
Hit-and-Run (University Road),2024-01-25,"Near Raj Bhavan Gate, Pune, Maharashtra, India",2024,1,Winter
Car vs Electric Pole (Viman Nagar),2024-01-10,"Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India",2024,1,Winter
Bus Overturn (Bhor),2023-12-28,"Varandha Ghat Road, Bhor, Pune, Maharashtra, India",2023,12,Winter
Bike vs Pedestrian (Shivajinagar),2023-12-15,"J.M. Road, Pune, Maharashtra, India",2023,12,Winter
Truck vs Car (Expressway),2023-10-25,"Urse Toll Naka, Pune side, Maharashtra, India",2023,10,Winter
Motorcycle vs Dumper (Wagholi),2023-09-15,"Bakori Phata, Wagholi, Pune, Maharashtra, India",2023,9,Monsoon
Car Hits Divider (Hinjewadi),2023-09-02,"Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India",2023,9,Monsoon
PMPML Bus Brake Failure,2023-08-20,"Shaniwar Wada Frontage, Pune, Maharashtra, India",2023,8,Monsoon
Two-Wheeler Fatality (Akurdi),2023-07-22,"Khandoba Mal, Akurdi, Pune, Maharashtra, India",2023,7,Monsoon
Highway Barrier Crash,2023-06-25,"Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India",2023,6,Monsoon
Motorcycle vs Truck (Nashik Highway),2023-06-12,"Moshi-Chakan Road, Pune, Maharashtra, India",2023,6,Monsoon
Hit-and-Run (Camp),2023-05-30,"M.G. Road near West End, Pune, Maharashtra, India",2023,5,Summer
Car vs Pedestrian (Aundh),2023-05-15,"Bremen Chowk, Aundh, Pune, Maharashtra, India",2023,5,Summer
Bus vs Two-Wheeler (Bibwewadi),2023-04-30,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2023,4,Summer
Tanker vs Car (Solapur Road),2023-04-15,"Manjari Phata, Pune, Maharashtra, India",2023,4,Summer
Motorcycle Skid (Morning Fog),2023-03-30,"Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India",2023,3,Summer
Truck Hits Walk-over Bridge,2023-03-15,"Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India",2023,3,Summer
Drunk Driver Hit-and-Run,2023-02-28,"Kalyani Nagar Lane 7, Pune, Maharashtra, India",2023,2,Winter
Two-Wheeler Fatal (Dehu Road),2023-02-12,"Dehu Road Cantonment Area, Pune, Maharashtra, India",2023,2,Winter
Car Plunges into Ditch,2023-01-30,"Pirangut Road, Mulshi, Pune, Maharashtra, India",2023,1,Winter
Multi-vehicle Pileup (Navale Bridge),2023-01-15,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2023,1,Winter
Bus vs Truck (Expressway),2022-12-28,"Bhor Ghat, Pune side, Maharashtra, India",2022,12,Winter
Motorcycle vs Auto (Sangvi),2022-12-15,"Famous Chowk, New Sangvi, Pune, Maharashtra, India",2022,12,Winter
