title,date,location,year,month,season,lat,lon
Car Plunges into Gutter,2023-08-20,"Dhanori-Lohegaon Road, Pune, Maharashtra, India",2023,8,Monsoon,18.5968555,73.8993441
Truck vs Car (Expressway),2023-08-05,"Urse Toll Naka, Pune side, Maharashtra, India",2023,8,Monsoon,18.7143346,73.62451949999999
Two-Wheeler Hit-and-Run (Kothrud),2023-07-25,"Chandni Chowk, Pune, Maharashtra, India",2023,7,Monsoon,18.506527,73.7794093
School Bus Median Crash,2023-07-12,"Kondhwa-Katraj Road, Pune, Maharashtra, India",2023,7,Monsoon,18.4530153,73.8891275
Motorcycle vs Dumper (Wagholi),2023-06-30,"Bakori Phata, Wagholi, Pune, Maharashtra, India",2023,6,Monsoon,18.5900482,73.9967144
Car Hits Divider (Hinjewadi),2023-06-15,"Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India",2023,6,Monsoon,18.6002014,73.7066799
PMPML Bus Brake Failure,2023-06-02,"Shaniwar Wada Frontage, Pune, Maharashtra, India",2023,6,Monsoon,18.5195841,73.85542079999999
Truck Overturn (Khed Shivapur),2023-05-20,"Pune-Satara Road, Pune, Maharashtra, India",2023,5,Summer,18.4586515,73.8581337
Two-Wheeler Fatality (Akurdi),2023-05-05,"Khandoba Mal, Akurdi, Pune, Maharashtra, India",2023,5,Summer,18.6498669,73.7808704
Speeding Sedan vs Auto,2023-04-25,"Fatima Nagar Chowk, Pune, Maharashtra, India",2023,4,Summer,18.5064875,73.9011094
Highway Barrier Crash,2023-04-10,"Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India",2023,4,Summer,18.7693125,73.4043386
Motorcycle vs Truck (Nashik Highway),2023-03-30,"Moshi-Chakan Road, Pune, Maharashtra, India",2023,3,Summer,18.7386836,73.7529882
Hit-and-Run (Camp),2023-03-15,"M.G. Road near West End, Pune, Maharashtra, India",2023,3,Summer,18.5059014,73.8785409
Car vs Pedestrian (Aundh),2023-02-28,"Bremen Chowk, Aundh, Pune, Maharashtra, India",2023,2,Winter,18.559178,73.816039
Bus vs Two-Wheeler (Bibwewadi),2023-02-12,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2023,2,Winter,18.4816683,73.8761181
Tanker vs Car (Solapur Road),2023-01-30,"Manjari Phata, Pune, Maharashtra, India",2023,1,Winter,18.499242,73.95075000000001
Motorcycle Skid (Morning Fog),2023-01-15,"Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India",2023,1,Winter,18.582646,73.7976722
Truck Hits Walk-over Bridge,2022-12-28,"Wadgaon Sheri, Pune-Ahmednagar Road, Pune, Maharashtra, India",2022,12,Winter,18.5608041,73.9181975
Drunk Driver Hit-and-Run,2022-12-15,"Kalyani Nagar Lane 7, Pune, Maharashtra, India",2022,12,Winter,18.5526825,73.9185547
Two-Wheeler Fatal (Dehu Road),2022-11-30,"Dehu Road Cantonment Area, Pune, Maharashtra, India",2022,11,Winter,18.6860277,73.74771419999999
Car Plunges into Ditch,2022-11-15,"Pirangut Road, Mulshi, Pune, Maharashtra, India",2022,11,Winter,18.5128856,73.6786426
Multi-vehicle Pileup (Navale Bridge),2022-11-02,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2022,11,Winter,18.5057992,73.7920547
Bus vs Truck (Expressway),2022-10-25,"Bhor Ghat, Pune side, Maharashtra, India",2022,10,Winter,18.7719444,73.3655556
Motorcycle vs Auto (Sangvi),2022-10-10,"Famous Chowk, New Sangvi, Pune, Maharashtra, India",2022,10,Winter,18.5797194,73.8120848
Speeding Car Hits Barrier,2022-09-28,"Pashan-Wakad Highway Bridge, Pune, Maharashtra, India",2022,9,Monsoon,18.5886852,73.7779137
"Chain Collision (8 Dead, 14 Injured)",2025-11-13,"Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India",2025,11,Winter,18.4506188,73.8609982
Muv Overboard (10 Women Killed),2025-08-11,"Near Mahadev Kundeshwar Temple, Khed Tehsil, Pune, Maharashtra, India",2025,8,Monsoon,18.9101844,73.7151004
Pothole Fall & Fatal Run-over (61-yr-old),2025-08-01,"Near MediPoint Hospital, Aundh, Pune, Maharashtra, India",2025,8,Monsoon,18.5650206,73.80242679999999
Truck Rams 25 Vehicles (1 Fatality),2025-07-26,"Near Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,7,Monsoon,18.7693125,73.4043386
Drunk Driver Rams Tea Stall (12 Injured),2025-06-01,"Near Goodluck Chowk, FC Road, Pune, Maharashtra, India",2025,6,Monsoon,18.517786,73.84042
Hoarding Collapse on 7 Two-Wheelers,2025-05-20,"Near RTO, Pune City, Pune, Maharashtra, India",2025,5,Summer,18.5298607,73.8628042
BMW Median Stall & Nuisance Arrest,2025-03-08,"Tilak Road, Pune, Maharashtra, India",2025,3,Summer,18.5068302,73.8517489
Symbiosis Students Highway Crash (2 Dead),2025-09-18,"Near Kiwale, Mumbai-Pune Highway, Pune, Maharashtra, India",2025,9,Monsoon,18.6531746,73.731972
Diwali Hit-and-Run (Firecracker Case),2024-11-03,"Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter,18.6606495,73.73215850000001
Pedestrian Fatality (Hit by Tempo),2026-02-11,"Khadi Machine Chowk, Kondhwa, Pune, Maharashtra, India",2026,2,Winter,18.452679,73.889955
Two-Wheeler Skids on Loose Gravel,2026-02-09,"Sus-Pashan Link Road, Pune, Maharashtra, India",2026,2,Winter,18.5454191,73.7777885
Luxury Bus vs Dumper,2026-02-05,"Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India",2026,2,Winter,17.7217895,74.2580747
Wrong Side Car Crash (Minor Injured),2026-01-20,"Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India",2026,1,Winter,18.6073328,73.8223016
Bicycle vs Cement Mixer,2026-01-12,"Wagholi-Bakori Road, Pune, Maharashtra, India",2026,1,Winter,18.5936066,74.0129981
School Van Overturns (10 Children),2025-12-22,"Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India",2025,12,Winter,18.5786825,73.73703309999999
Car Plunges into Gorge,2025-12-05,"Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India",2025,12,Winter,18.4759109,73.45924169999999
Garbage Compactor Hit-and-Run,2025-11-25,"Sinhagad Road near Pu La Deshpande Park, Pune, Maharashtra, India",2025,11,Winter,18.4571619,73.8033639
Night Bus Hits Divider,2025-11-10,"Near Wakad Bridge, Mumbai-Bengaluru Highway, Pune, Maharashtra, India",2025,11,Winter,18.5863816,73.7594119
Auto Rickshaw vs SUV,2025-11-02,"Near Pune Railway Station South Gate, Pune, Maharashtra, India",2025,11,Winter,18.5065995,73.92844769999999
Car Hits Pedestrian at Zebra Crossing,2025-10-12,"University Chowk, Ganeshkhind Road, Pune, Maharashtra, India",2025,10,Winter,18.5411856,73.830649
Multi-Vehicle Pileup (Rain-Slicked),2025-09-30,"Near Urse Toll Naka, Expressway, Pune, Maharashtra, India",2025,9,Monsoon,18.7143346,73.62451949999999
Speeding Bike vs Median,2025-09-15,"Kharadi-Mundhwa Bridge, Pune, Maharashtra, India",2025,9,Monsoon,18.5363161,73.9339958
Truck vs Car (Rear-end),2025-09-01,"Near Somatane Phata, Old Highway, Pune, Maharashtra, India",2025,9,Monsoon,18.7279114,73.6541512
Pedestrian Fatality (Akurdi),2025-08-22,"Near Akurdi Railway Station, Pimpri-Chinchwad, Pune, Maharashtra, India",2025,8,Monsoon,18.6485302,73.76466909999999
Scooter vs PMPML Bus,2025-08-10,"Near Shaniwar Wada, Pune, Maharashtra, India",2025,8,Monsoon,18.5263148,73.8517488
Car vs Electric Pole,2025-07-28,"Balewadi High Street, Pune, Maharashtra, India",2025,7,Monsoon,18.5686574,73.7752909
Delivery Executive Fatality,2025-07-15,"Viman Nagar near Symbiosis Law School, Pune, Maharashtra, India",2025,7,Monsoon,18.5678553,73.9143637
MSRTC Bus vs Private Car,2025-05-25,"Pune-Solapur Highway, near Hadapsar, Pune, Maharashtra, India",2025,5,Summer,18.5010857,73.9365251
Speeding Sedan Median Crash,2025-05-12,"Karve Road, near Deccan Gymkhana, Pune, Maharashtra, India",2025,5,Summer,18.5129387,73.8398418
Dumper Truck vs Cyclist,2025-05-01,"Chakan-Ambethan Road, Pune, Maharashtra, India",2025,5,Summer,18.7743656,73.8411211
SUV vs Auto Rickshaw,2025-04-20,"Swargate underpass, Pune, Maharashtra, India",2025,4,Summer,18.523999,73.94205199999999
Motorcycle vs Divider,2025-04-05,"Model Colony, near Deep Bungalow Chowk, Pune, Maharashtra, India",2025,4,Summer,18.5324846,73.8374954
Truck Overturn (Gridlock),2025-03-25,"Katraj-Dehu Road Bypass near Ambegaon, Pune, Maharashtra, India",2025,3,Summer,18.5612419,73.7687743
Car Plunges into Canal,2025-03-02,"Lonikand-Shikrapur Road, Pune, Maharashtra, India",2025,3,Summer,18.7627616,74.0965911
Two-Wheeler Run Over by Tanker,2025-02-20,"Moshi High Street, Pimpri-Chinchwad, Pune, Maharashtra, India",2025,2,Winter,18.6630139,73.8362408
Highway Barrier Crash (Expressway),2025-01-25,"Khalapur Section (Pune side), Maharashtra, India",2025,1,Winter,18.5150696,73.9023924
Wrong Side Bike Collision,2025-01-10,"Hinjewadi Phase 3 Road, Pune, Maharashtra, India",2025,1,Winter,18.623236,73.8695379
Drunk Driving Fatality,2024-12-28,"Camp, near West End Cinema, Pune, Maharashtra, India",2024,12,Winter,18.5204303,73.8567437
Bus vs Scooterist,2024-12-01,"Sangamwadi Bridge, Pune, Maharashtra, India",2024,12,Winter,18.5327338,73.8562782
Auto Rickshaw Overturn,2024-11-08,"Market Yard Chowk, Pune, Maharashtra, India",2024,11,Winter,18.4876541,73.86836970000002
Speeding Car Hits Barrier,2024-10-25,"Bavdhan Flyover, Pune, Maharashtra, India",2024,10,Winter,18.513463,73.76985789999999
Motorcycle vs Divider (Speeding),2024-10-10,"Kothrud, near Vanaz Metro, Pune, Maharashtra, India",2024,10,Winter,18.5073514,73.8076543
Luxury Bus Brake Failure,2024-09-25,"Katraj Ghat Section, Pune, Maharashtra, India",2024,9,Monsoon,18.4216354,73.8601013
Pedestrian Fatality (Bhosari),2024-09-12,"Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India",2024,9,Monsoon,18.6325975,73.8499557
Car vs Truck (Expressway),2024-08-28,"Lonavala Exit, Pune side, Maharashtra, India",2024,8,Monsoon,18.5246091,73.8786239
Two-Wheeler Fatality (Wagholi),2024-08-15,"Near Ivy Estate, Nagar Road, Pune, Maharashtra, India",2024,8,Monsoon,18.5626928,73.9372291
Speeding Sedan Median Crash,2024-07-05,"Viman Nagar near Phoenix Mall, Pune, Maharashtra, India",2024,7,Monsoon,18.5678553,73.9143637
Truck vs Car (Shikrapur),2024-06-05,"Pune-Ahmednagar Highway, Shikrapur, Pune, Maharashtra, India",2024,6,Monsoon,18.5621306,73.923209
Two-Wheeler Pothole Fall,2024-05-25,"Yerawada, near Golf Course Road, Pune, Maharashtra, India",2024,5,Summer,18.553218,73.8848221
Speeding Car (Pune Station),2024-05-10,"Near Pune Railway Station, Pune, Maharashtra, India",2024,5,Summer,18.5212669,73.8689313
Bus Accident (Old Highway),2024-04-25,"Dehu Road Cantonment, Pune, Maharashtra, India",2024,4,Summer,18.6860277,73.74771419999999
Hit-and-Run (Kondhwa),2024-04-10,"Jyoti Chowk, Kondhwa, Pune, Maharashtra, India",2024,4,Summer,18.4748584,73.88527909999999
Motorcycle vs Dumper (Pimpri),2024-03-25,"Pimpri Grade Separator Road, Pune, Maharashtra, India",2024,3,Summer,18.6263131,73.805498
Car Median Collision (Baner),2024-03-10,"Baner-Pashan Link Road, Pune, Maharashtra, India",2024,3,Summer,18.5491621,73.7912816
Hit-and-Run (University Road),2024-01-25,"Near Raj Bhavan Gate, Pune, Maharashtra, India",2024,1,Winter,18.5175318,73.87164899999999
Car vs Electric Pole (Viman Nagar),2024-01-10,"Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India",2024,1,Winter,18.5655222,73.91315759999999
Bus Overturn (Bhor),2023-12-28,"Varandha Ghat Road, Bhor, Pune, Maharashtra, India",2023,12,Winter,18.1111733,73.6670292
Bike vs Pedestrian (Shivajinagar),2023-12-15,"J.M. Road, Pune, Maharashtra, India",2023,12,Winter,18.5212065,73.8467797
Truck vs Car (Expressway),2023-10-25,"Urse Toll Naka, Pune side, Maharashtra, India",2023,10,Winter,18.7143346,73.62451949999999
Motorcycle vs Dumper (Wagholi),2023-09-15,"Bakori Phata, Wagholi, Pune, Maharashtra, India",2023,9,Monsoon,18.5900482,73.9967144
Car Hits Divider (Hinjewadi),2023-09-02,"Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India",2023,9,Monsoon,18.6002014,73.7066799
PMPML Bus Brake Failure,2023-08-20,"Shaniwar Wada Frontage, Pune, Maharashtra, India",2023,8,Monsoon,18.5195841,73.85542079999999
Two-Wheeler Fatality (Akurdi),2023-07-22,"Khandoba Mal, Akurdi, Pune, Maharashtra, India",2023,7,Monsoon,18.6498669,73.7808704
Highway Barrier Crash,2023-06-25,"Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India",2023,6,Monsoon,18.7693125,73.4043386
Motorcycle vs Truck (Nashik Highway),2023-06-12,"Moshi-Chakan Road, Pune, Maharashtra, India",2023,6,Monsoon,18.7386836,73.7529882
Hit-and-Run (Camp),2023-05-30,"M.G. Road near West End, Pune, Maharashtra, India",2023,5,Summer,18.5059014,73.8785409
Car vs Pedestrian (Aundh),2023-05-15,"Bremen Chowk, Aundh, Pune, Maharashtra, India",2023,5,Summer,18.559178,73.816039
Bus vs Two-Wheeler (Bibwewadi),2023-04-30,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2023,4,Summer,18.4816683,73.8761181
Tanker vs Car (Solapur Road),2023-04-15,"Manjari Phata, Pune, Maharashtra, India",2023,4,Summer,18.499242,73.95075000000001
Motorcycle Skid (Morning Fog),2023-03-30,"Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India",2023,3,Summer,18.582646,73.7976722
Truck Hits Walk-over Bridge,2023-03-15,"Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India",2023,3,Summer,18.5608041,73.9181975
Drunk Driver Hit-and-Run,2023-02-28,"Kalyani Nagar Lane 7, Pune, Maharashtra, India",2023,2,Winter,18.5526825,73.9185547
Two-Wheeler Fatal (Dehu Road),2023-02-12,"Dehu Road Cantonment Area, Pune, Maharashtra, India",2023,2,Winter,18.6860277,73.74771419999999
Car Plunges into Ditch,2023-01-30,"Pirangut Road, Mulshi, Pune, Maharashtra, India",2023,1,Winter,18.5128856,73.6786426
Multi-vehicle Pileup (Navale Bridge),2023-01-15,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2023,1,Winter,18.5057992,73.7920547
Bus vs Truck (Expressway),2022-12-28,"Bhor Ghat, Pune side, Maharashtra, India",2022,12,Winter,18.7719444,73.3655556
Motorcycle vs Auto (Sangvi),2022-12-15,"Famous Chowk, New Sangvi, Pune, Maharashtra, India",2022,12,Winter,18.5797194,73.8120848
